,trasferimento_da,trasferimento_a,inizio_trasf,fine_trasf,data_inizio,data_fine,meteo,recettore,Maleodoranza
0,ENI,?,2020-04-24 00:00:00,2020-04-24 23:59:00,2020-04-24 20:00:00,2020-04-24 23:59:00,eni,R20,forte odore di idrocarburi che si presentava ad intermittenza ma con intensità molto elevata
1,ENI,?,2020-04-24 00:00:00,2020-04-24 23:59:00,2020-04-24 20:00:00,2020-04-24 23:59:00,ispra,R20,forte odore di idrocarburi che si presentava ad intermittenza ma con intensità molto elevata
2,ENI,?,2020-04-24 00:00:00,2020-04-24 23:59:00,2020-04-24 20:00:00,2020-04-24 23:59:00,lamma,R20,forte odore di idrocarburi che si presentava ad intermittenza ma con intensità molto elevata
3,ENI,D’Alesio,2019-11-25 17:20:00,2019-11-26 06:00:00,2019-11-25 21:15:00,,ispra,R1,forte odore di idrocarburi
4,ENI,D’Alesio,2019-11-26 08:00:00,2019-11-27 10:40:00,2019-11-27 08:45:00,,nessuna intersezione,R1,forte odore di idrocarburi
5,ENI,D’Alesio,2020-01-31 16:00:00,2020-02-01 17:00:00,2020-02-01 08:04:00,,nessuna intersezione,R1,aria irrespirabile
6,ENI,D’Alesio,2020-01-31 16:00:00,2020-02-01 17:00:00,2020-02-01 09:03:00,,eni,R18,aria irrespirabile
7,ENI ,D’Alesio,2019-09-18 20:10:00,2019-09-19 20:15:00,2019-09-19 02:00:00,2019-09-19 03:00:00,eni,R5,forte odore di idrocarburi
8,ENI ,D’Alesio,2019-09-18 20:10:00,2019-09-19 20:15:00,2019-09-19 02:00:00,2019-09-19 03:00:00,ispra,R5,forte odore di idrocarburi
9,nave,D’Alesio,2020-01-31 18:30:00,2020-02-01 22:48:00,2020-02-01 08:04:00,,nessuna intersezione,R1,aria irrespirabile
10,nave,D’Alesio,2020-01-31 18:30:00,2020-02-01 22:48:00,2020-02-01 09:03:00,,eni,R18,aria irrespirabile
